Date,Open,High,Low,Close,Volume
2021-01-04,1516.62,1527.07,1509.98,1511.67,1521436
2021-01-05,1522.17,1539.07,1483.3,1508.99,3391912
2021-01-06,1531.27,1548.99,1507.8,1524.18,2109184
2021-01-07,1550.98,1579.06,1559.28,1559.87,4684238
2021-01-08,1540.29,1564.39,1538.81,1554.87,2828476
2021-01-11,1542.51,1569.22,1545.65,1549.88,984273
2021-01-12,1590.53,1604.24,1574.45,1587.51,2903233
2021-01-13,1591.96,1620.06,1586.3,1606.37,3322236
2021-01-14,1595.46,1599.75,1572.79,1595.58,1188332
2021-01-15,1612.22,1637.63,1583.46,1609.1,1226448
2021-01-18,1593.13,1612.81,1590.82,1598.43,570463
2021-01-19,1596.38,1593.96,1568.3,1587.78,1633183
2021-01-20,1581.49,1605.75,1578.45,1594.03,3366457
2021-01-21,1536.23,1562.23,1533.67,1549.4,2930992
2021-01-22,1517.17,1535.28,1497.51,1510.28,4814380
2021-01-25,1497.9,1520.02,1494.01,1498.04,1660294
2021-01-26,1481.46,1498.61,1475.33,1475.9,2844688
2021-01-27,1481.39,1483.65,1465.75,1483.32,536413
2021-01-28,1456.27,1475.87,1458.64,1463.69,3448632
2021-01-29,1442.59,1447.24,1426.69,1433.44,1064430
2021-02-01,1474.52,1466.3,1453.24,1465.74,4168508
2021-02-02,1466.91,1468.81,1459.94,1461.22,3524015
2021-02-03,1456.47,1485.39,1439.74,1463.14,1415480
2021-02-04,1435.22,1436.56,1407.11,1432.63,4141141
2021-02-05,1417.46,1436.63,1417.26,1421.41,3881915
2021-02-08,1412.57,1430.33,1408.22,1424.2,542056
2021-02-09,1411.94,1400.59,1395.96,1400.25,2648983
2021-02-10,1398.35,1415.38,1405.57,1408.58,3442775
2021-02-11,1408.94,1423.62,1370.19,1396.37,1273952
2021-02-12,1389.19,1412.98,1387.45,1390.69,1408380
2021-02-15,1369.93,1405.07,1363.4,1378.61,1837768
2021-02-16,1419.06,1431.7,1403.99,1417.87,3590930
2021-02-17,1428.59,1421.12,1407.42,1418.01,2360971
2021-02-18,1402.59,1411.41,1394.05,1396.11,2014101
2021-02-19,1422.54,1426.72,1386.13,1413.87,2830344
2021-02-22,1393.04,1412.08,1374.1,1388.63,1906150
2021-02-23,1398.76,1396.13,1384.7,1393.4,1025005
2021-02-24,1362.89,1366.66,1345.93,1353.44,3919548
2021-02-25,1320.51,1331.13,1318.99,1327.15,1729458
2021-02-26,1331.19,1340.12,1308.42,1331.47,1667272
2021-03-01,1339.19,1366.56,1327.83,1346.7,3950087
2021-03-02,1363.75,1363.44,1333.26,1350.58,1993551
2021-03-03,1360.62,1358.78,1343.37,1348.64,4473313
2021-03-04,1330.59,1353.56,1323.59,1342.96,2936831
2021-03-05,1319.3,1325.97,1293.16,1313.9,4665255
2021-03-08,1311.24,1320.59,1299.07,1300.18,2206517
2021-03-09,1283.37,1314.66,1266.02,1291.62,3697445
2021-03-10,1314.43,1337.73,1312.59,1312.65,3648491
2021-03-11,1330.8,1340.6,1311.3,1319.83,855054
2021-03-12,1273.79,1293.88,1281.36,1285.77,3701208
2021-03-15,1297.53,1310.22,1274.2,1292.43,4339847
2021-03-16,1280.16,1296.62,1260.03,1285.37,1666670
2021-03-17,1283.56,1279.24,1266.09,1272.76,1180667
2021-03-18,1296.99,1306.49,1280.62,1284.88,3348883
2021-03-19,1316.9,1306.3,1298.52,1305.3,2514017
2021-03-22,1323.38,1347.94,1301.36,1324.06,4522261
2021-03-23,1317.36,1319.96,1301.44,1307.89,2499482
2021-03-24,1311.19,1318.82,1296.2,1302.22,4149244
2021-03-25,1304.36,1326.36,1300.16,1309.1,4413397
2021-03-26,1337.54,1352.59,1322.58,1328.8,3588589
2021-03-29,1307.46,1336.48,1315.61,1319.68,4739399
2021-03-30,1318.93,1332.56,1306.23,1316.4,2021722
2021-03-31,1288.14,1296.86,1271.52,1295.13,2362205
2021-04-01,1262.82,1285.67,1259.44,1272.48,1965915
2021-04-02,1277.57,1292.34,1264.7,1288.47,850067
2021-04-05,1320.5,1334.74,1299.75,1315.34,2206826
2021-04-06,1310.11,1327.78,1298.73,1314.32,2559385
2021-04-07,1340.65,1352.81,1309.72,1334.65,1941246
2021-04-08,1330.64,1343.43,1324.83,1342.31,2867322
2021-04-09,1324.88,1332.05,1306.15,1329.79,1875645
2021-04-12,1338.47,1356.57,1332.28,1337.41,4238858
2021-04-13,1377.0,1371.01,1367.61,1369.04,2770463
2021-04-14,1363.75,1370.66,1343.32,1368.71,1334440
2021-04-15,1405.17,1401.98,1400.38,1401.64,1199895
2021-04-16,1358.44,1373.82,1335.16,1348.03,745144
2021-04-19,1368.32,1385.3,1346.04,1365.16,4524227
2021-04-20,1360.06,1377.02,1342.11,1367.36,4322727
2021-04-21,1348.7,1369.73,1348.05,1361.65,1744360
2021-04-22,1374.03,1373.47,1358.32,1363.93,3549316
2021-04-23,1311.58,1344.78,1316.5,1324.26,3049565
2021-04-26,1330.19,1337.76,1295.22,1320.3,1649734
2021-04-27,1328.56,1332.71,1303.17,1327.79,2346585
2021-04-28,1369.88,1362.69,1341.74,1357.96,3460883
2021-04-29,1355.9,1350.5,1328.85,1347.85,4607618
2021-04-30,1345.28,1349.6,1311.56,1332.01,1406450
2021-05-03,1318.46,1342.63,1303.39,1322.41,1982795
2021-05-04,1348.27,1348.21,1335.83,1341.1,782140
2021-05-05,1345.49,1348.69,1346.22,1348.13,2108795
2021-05-06,1337.32,1340.06,1321.94,1337.86,1058981
2021-05-07,1352.05,1374.72,1346.08,1348.61,2543321
2021-05-10,1361.08,1358.96,1332.65,1350.98,608944
2021-05-11,1384.44,1392.25,1356.8,1371.16,2297519
2021-05-12,1364.49,1374.17,1336.2,1357.21,4377590
2021-05-13,1348.74,1361.28,1341.25,1350.96,4215929
2021-05-14,1341.33,1348.97,1342.88,1343.44,2458691
2021-05-17,1320.91,1317.85,1304.23,1314.66,4891401
2021-05-18,1314.01,1337.16,1303.94,1320.91,3428100
2021-05-19,1316.16,1347.04,1317.15,1326.49,3209236
2021-05-20,1323.13,1344.08,1303.71,1326.99,2453341
2021-05-21,1317.1,1336.76,1319.78,1322.73,1473737
2021-05-24,1290.05,1296.42,1282.46,1295.33,1633387
2021-05-25,1280.71,1312.51,1273.39,1287.57,4402908
2021-05-26,1269.62,1301.82,1270.74,1281.35,3138439
2021-05-27,1254.19,1273.82,1256.9,1266.4,1195532
2021-05-28,1276.05,1288.49,1240.26,1263.72,795866
2021-05-31,1269.95,1287.1,1263.72,1271.79,1297057
2021-06-01,1305.64,1323.91,1288.83,1308.67,4892541
2021-06-02,1317.22,1332.14,1304.99,1312.5,2305518
2021-06-03,1310.54,1339.37,1313.29,1317.97,3935088
2021-06-04,1328.75,1334.19,1311.74,1316.9,3436537
2021-06-07,1287.25,1283.2,1268.46,1279.92,4123425
2021-06-08,1269.29,1288.46,1267.52,1279.8,4099537
2021-06-09,1279.23,1305.12,1259.37,1281.34,2646674
2021-06-10,1340.04,1335.93,1323.98,1329.96,2482847
2021-06-11,1338.33,1336.4,1307.2,1326.53,2709853
2021-06-14,1332.07,1344.46,1319.52,1332.94,4591685
2021-06-15,1335.67,1344.36,1313.57,1332.65,707352
2021-06-16,1301.17,1325.95,1287.2,1309.89,2175502
2021-06-17,1346.02,1358.07,1323.05,1332.93,684514
2021-06-18,1341.22,1354.95,1322.96,1348.46,1298658
2021-06-21,1377.05,1368.28,1358.1,1364.96,2357596
2021-06-22,1350.9,1352.19,1328.49,1346.87,1758624
2021-06-23,1378.89,1400.34,1348.42,1375.93,1462452
2021-06-24,1348.04,1365.11,1334.52,1347.7,2270394
2021-06-25,1352.69,1367.8,1334.09,1360.02,4636725
2021-06-28,1396.77,1428.81,1385.52,1405.87,3250025
2021-06-29,1377.81,1409.43,1377.44,1385.56,2589934
2021-06-30,1365.63,1397.52,1348.49,1374.25,3426979
2021-07-01,1384.42,1402.02,1372.3,1376.72,3014399
2021-07-02,1362.67,1373.67,1339.54,1366.77,4295830
2021-07-05,1323.94,1355.92,1315.63,1335.75,1455205
2021-07-06,1350.07,1349.84,1330.59,1337.52,2623091
2021-07-07,1326.88,1338.94,1298.76,1316.77,1466649
2021-07-08,1337.91,1345.89,1302.73,1326.56,1434048
2021-07-09,1321.73,1329.1,1292.03,1308.78,3530555
2021-07-12,1331.23,1357.55,1320.42,1339.97,2364071
2021-07-13,1321.96,1329.41,1320.54,1324.71,1927989
2021-07-14,1325.53,1333.09,1300.61,1318.72,2532709
2021-07-15,1340.56,1361.62,1329.68,1335.32,1700532
2021-07-16,1302.2,1335.86,1308.44,1311.28,964462
2021-07-19,1324.47,1317.3,1301.26,1316.16,3491620
2021-07-20,1335.22,1347.05,1340.2,1342.62,3500109
2021-07-21,1303.79,1314.48,1294.7,1311.03,4072401
2021-07-22,1316.03,1334.15,1314.12,1315.06,2944975
2021-07-23,1323.04,1342.19,1296.54,1320.59,3771557
2021-07-26,1338.71,1342.28,1328.2,1336.57,2772759
2021-07-27,1301.67,1325.67,1299.1,1312.39,2949308
2021-07-28,1296.76,1308.68,1271.28,1287.04,4248294
2021-07-29,1291.47,1316.57,1288.02,1297.55,774535
2021-07-30,1294.07,1317.87,1296.01,1303.73,3748204
2021-08-02,1319.21,1324.49,1282.96,1309.03,2980017
2021-08-03,1328.25,1329.63,1294.32,1316.25,4631146
2021-08-04,1312.72,1311.04,1295.8,1303.28,1417472
2021-08-05,1316.32,1323.0,1299.49,1308.22,2778581
2021-08-06,1318.46,1332.49,1313.49,1314.38,4149279
2021-08-09,1302.08,1323.48,1294.54,1300.76,2504517
2021-08-10,1327.03,1355.11,1336.76,1338.08,2562362
2021-08-11,1345.56,1368.55,1340.01,1348.03,4132403
2021-08-12,1321.18,1328.79,1305.95,1324.55,3721131
2021-08-13,1331.63,1350.41,1314.12,1338.06,2507338
2021-08-16,1324.93,1319.29,1313.28,1319.04,1088574
2021-08-17,1334.99,1341.69,1325.6,1335.1,2934138
2021-08-18,1347.52,1378.65,1333.04,1358.91,604927
2021-08-19,1335.18,1369.32,1325.5,1342.69,2349916
2021-08-20,1367.63,1365.34,1361.46,1362.64,3082985
2021-08-23,1359.89,1382.53,1357.82,1371.52,4717690
2021-08-24,1398.71,1411.18,1373.19,1388.95,4149886
2021-08-25,1429.33,1435.3,1413.97,1429.47,4946460
2021-08-26,1424.09,1440.46,1402.1,1424.64,1453122
2021-08-27,1411.65,1429.71,1391.26,1409.05,4543763
2021-08-30,1399.82,1407.92,1373.26,1390.79,2798354
2021-08-31,1370.11,1379.46,1348.24,1374.29,614589
2021-09-01,1378.0,1382.87,1366.73,1373.11,1693982
2021-09-02,1382.38,1402.21,1364.46,1380.57,1119003
2021-09-03,1380.27,1402.1,1381.8,1386.73,693839
2021-09-06,1415.1,1404.61,1400.26,1404.46,1006453
2021-09-07,1413.52,1426.55,1383.01,1405.16,3547589
2021-09-08,1441.11,1437.57,1426.72,1436.56,3427053
2021-09-09,1441.34,1452.65,1416.19,1431.3,3024055
2021-09-10,1502.31,1497.39,1487.78,1491.35,3490193
2021-09-13,1512.15,1534.72,1482.25,1505.87,3007743
2021-09-14,1497.1,1498.02,1477.5,1487.08,2055811
2021-09-15,1469.6,1473.39,1452.34,1463.82,2156042
2021-09-16,1480.2,1479.28,1454.1,1474.89,4345474
2021-09-17,1473.89,1479.39,1445.01,1470.4,4424482
2021-09-20,1494.19,1512.75,1476.32,1486.68,3732452
2021-09-21,1487.49,1527.56,1489.89,1497.72,4790697
2021-09-22,1507.93,1507.55,1476.05,1496.53,4246328
2021-09-23,1489.07,1491.34,1467.58,1478.08,4661603
2021-09-24,1431.7,1466.18,1427.83,1445.31,2410332
2021-09-27,1445.45,1461.54,1427.85,1436.09,4240030
2021-09-28,1444.3,1472.36,1431.8,1455.1,2998578
2021-09-29,1455.4,1471.65,1457.01,1460.22,4312010
2021-09-30,1440.59,1445.44,1413.18,1433.61,1978081
2021-10-01,1428.02,1457.77,1419.59,1437.77,2070889
2021-10-04,1455.74,1446.63,1419.29,1446.54,2899146
2021-10-05,1437.41,1445.61,1402.55,1427.92,3571640
2021-10-06,1431.85,1441.82,1417.78,1431.64,2045491
2021-10-07,1419.17,1456.09,1412.32,1433.32,2422967
2021-10-08,1403.38,1412.0,1404.74,1409.38,1450922
2021-10-11,1420.7,1434.06,1389.46,1417.39,2184449
2021-10-12,1443.55,1443.54,1412.03,1429.79,965590
2021-10-13,1457.48,1472.32,1434.38,1453.65,1933284
2021-10-14,1470.15,1479.17,1448.28,1477.25,1617374
2021-10-15,1451.35,1464.26,1422.12,1447.47,3499610
2021-10-18,1428.82,1443.71,1410.94,1427.68,2798756
2021-10-19,1447.23,1455.32,1424.58,1439.18,3288107
2021-10-20,1439.35,1468.26,1433.47,1450.75,530257
2021-10-21,1470.07,1482.23,1448.72,1462.44,1485257
